"Documentos","Turma","Disciplina","C.H.","Depto","Cursos - Ano/Sem. - Prioridade","Vagas por Curso","Vagas Calouro Veterano","","Matriculados","Atendidas","Pendentes Prioritárias Sujeitas Aprovação","","Não atendidas Prioritárias Sujeitas Aprovação","","Aprovados","Reprovados","Ausência Remota","Docente(s)","Horário","Modo de Oferta","Tipo de Oferta","Periodicidade"
"","GEL00111601T","Geologia","60.0","DG","0323EC - 1/2 - Obrigatória - Integral","0323EC - /","32","32","0","0","3","0","0","0","0","0","0","","Sexta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004315-GEOLOGIA","Petrologia Metamórfica","120.0","DG","1323E - 2/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","49","0","0","0","0","0","0","0","Antonio Misson Godoy Regiane Andrade Fumes","Segunda: 14:00-18:00 Terça: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004415-GEOLOGIA","Petrologia Sedimentar","60.0","DG","1323E - 2/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","25","0","0","0","0","0","0","0","Lucas Veríssimo Warren Sergio Caetano Filho","Quarta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004515-GEOLOGIA","Topografia e Geodésia","60.0","DG","1323E - 2/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","31","0","0","0","0","0","0","0","Lucas Moreira Furlan","Quinta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004615-GEOLOGIA","Geologia de Campo I","60.0","DG","1323E - 2/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","26","0","0","0","0","0","0","0","Matheus Lisboa Nobre da Silva Regiane Andrade Fumes Washington Barbosa Leite Junior","Sexta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004715-GEOLOGIA","Paleontologia Geral e Aplicada","90.0","DG","1323E - 2/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","27","0","0","0","0","0","0","0","Rosemarie Rohn","Quinta: 14:00-18:00 Sexta: 10:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004815-GEOLOGIA","Resistência dos Materiais","60.0","DG","1323E - 2/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","29","0","0","0","0","0","0","0","Rodrigo Irineu Cerri","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL005315-GEOLOGIA","Fotogeologia e Sensoriamento Remoto","90.0","DG","1323E - 3/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","21","0","0","0","0","0","0","0","Lucas Moreira Furlan José Eduardo Zaine","Terça: 08:00-12:00 Terça: 14:00-16:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL005415-GEOLOGIA","Geologia de Campo II","60.0","DG","1323E - 3/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","31","0","0","0","0","0","0","0","George Luiz Luvizotto José Eduardo Zaine","Sexta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL005515-GEOLOGIA","Estratigrafia","90.0","DG","1323E - 3/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","24","0","0","0","0","0","0","0","Giancarlo Scardia","Segunda: 14:00-16:00 Quinta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL005615-GEOLOGIA","Geotectônica","60.0","DG","1323E - 3/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","39","0","0","0","0","0","0","0","George Luiz Luvizotto","Quinta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL005715-GEOLOGIA","Pedologia","60.0","DG","1323E - 3/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","31","0","0","0","0","0","0","0","","Quarta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL005815-GEOLOGIA","Mecânica de Solos e Rochas","90.0","DG","1323E - 3/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","0","46","0","0","0","0","0","0","0","Rodrigo Irineu Cerri","Segunda: 08:00-12:00 Sexta: 08:00-10:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL007315-GEOLOGIA","Gamaespectrometria - optativa","60.0","DG","1317E - / - Optativa - Integral","1317E - /","0","20","0","10","0","0","0","0","0","0","0","Dionisio Uendro Carlos","Quarta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","PEM630515-GEOLOGIA","Introdução à Geocronologia - Optativa","60.0","DG","1317E - / - Optativa - Integral","1317E - /","0","20","0","15","0","0","0","0","0","0","0","Sergio Caetano Filho","Quarta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","PEM630615-GEOLOGIA","Microscopia de Minérios - Optativa","60.0","DG","1317E - / - Optativa - Integral","1317E - /8","0","8","0","7","0","0","0","0","0","0","0","Washington Barbosa Leite Junior","Segunda: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","PEM635515-GEOLOGIA","Geologia Econômica II","60.0","DG","1317E - 4/2 - Obrigatória - Integral","1317E - /","0","100","0","16","0","0","0","0","0","0","0","Washington Barbosa Leite Junior Rodrigo Prudente de Melo","Quarta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","PEM635615A-GEOLOGIA","Mapeamento Geológico de Áreas Cristalinas","120.0","DG","1317E - 4/2 - Obrigatória - Integral","1317E - /","0","100","0","7","0","0","0","0","0","0","0","Antonio Misson Godoy George Luiz Luvizotto Lucas Moreira Furlan Regiane Andrade Fumes Rodrigo Irineu Cerri Rodrigo Prudente de Melo Washington Barbosa Leite Junior","Sábado: 08:00-12:00 Quinta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","PEM635615B-GEOLOGIA","Mapeamento Geológico de Áreas Cristalinas","120.0","DG","1317E - 4/2 - Obrigatória - Integral","1317E - /","0","100","0","0","0","0","0","0","0","0","0","Antonio Misson Godoy George Luiz Luvizotto Lucas Moreira Furlan Regiane Andrade Fumes Rodrigo Irineu Cerri Rodrigo Prudente de Melo Washington Barbosa Leite Junior","Quinta: 14:00-18:00 Sábado: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
